past_profitability_21d,past_profitability_63d,past_profitability_126d,volatility_21d,volatility_63d,volatility_126d,avg_price_21d,avg_price_63d,avg_price_126d,sharpe_21d,sharpe_63d,sharpe_126d,m_21d,m_63d,m_126d,roc_21d,roc_63d,roc_126d,MACD,rsi_14,dco_22,min_21d,min_63d,min_126d,max_21d,max_63d,max_126d,exp_mean_21d,exp_mean_63d,exp_mean_126d,target,factual_id
0.0,0.0,0.0,0.1,0.1,0.1,134.593,133.294,132.3,0.2,0.1,0.7,1.8,1.3,6.4,0.0,0.0,0.0,0.6,56.4,-0.10594704,132.907,130.65,129.283,136.199,136.199,136.2,134.67,133.4,132.09,0.029285699650629167,43424
0.0,0.0,0.1,0.1,0.1,0.1,134.51,133.274,132.25,0.2,0.2,0.7,1.4,1.7,6.5,0.0,0.0,0.1,0.6,53.9,-0.2793923318,132.885,130.65,128.933,136.199,136.199,136.2,134.61,133.33,132.04,0.030404980559182386,43424
0.0,0.0,0.1,0.1,0.1,0.1,7.189,7.132,7.04,0.0,0.3,0.9,0.0,0.1,0.4,0.0,0.0,0.1,0.0,52.4,-0.0451636352,7.115,7.02,6.727,7.268,7.268,7.27,7.19,7.13,7.06,0.07459218581852886,6936
0.0,0.0,0.0,0.1,0.1,0.1,7.095,7.046,6.96,0.0,0.3,0.5,0.0,0.1,0.2,0.0,0.0,0.0,0.0,50.4,-0.0392345451,7.016,6.87,6.727,7.192,7.192,7.19,7.09,7.04,6.98,0.05809895335750437,6936
-0.0,-0.0,-0.0,0.0,0.0,0.0,15.799,15.827,15.85,-0.3,-0.6,-1.0,-0.0,-0.1,-0.1,-0.0,-0.0,-0.0,-0.0,21.6,-0.0004727273,15.776,15.78,15.776,15.812,15.87,15.91,15.8,15.82,15.85,0.002782459899466738,31466
-0.0,-0.0,-0.0,0.0,0.0,0.0,15.794,15.823,15.85,-0.3,-0.7,-0.9,-0.0,-0.1,-0.1,-0.0,-0.0,-0.0,-0.0,22.3,0.0129818181,15.762,15.76,15.762,15.81,15.87,15.9,15.79,15.82,15.85,0.002910681096895656,31466
0.1,0.1,-0.1,0.4,0.4,0.4,0.109,0.109,0.12,0.1,0.1,-0.4,0.0,0.0,-0.0,0.1,0.1,-0.1,0.0,55.2,0.0002545454,0.102,0.1,0.097,0.116,0.126,0.13,0.11,0.11,0.12,1.137160372032871,25983
0.1,0.1,-0.2,0.5,0.5,0.6,0.138,0.122,0.14,0.2,0.1,-0.3,0.0,0.0,-0.0,0.1,0.1,-0.2,0.0,55.1,-0.0020545456,0.125,0.1,0.105,0.144,0.144,0.19,0.14,0.13,0.14,0.3262584755277723,25983
0.0,0.0,0.0,0.0,0.0,0.0,129.753,129.563,129.46,0.4,0.6,0.1,0.2,0.5,0.1,0.0,0.0,0.0,0.1,71.0,-0.0397272743,129.62,129.17,129.15,129.892,129.892,129.89,129.76,129.61,129.58,0.004669854725991433,33206
0.0,0.0,0.0,0.0,0.0,0.0,129.742,129.555,129.46,0.4,0.6,0.1,0.3,0.5,0.1,0.0,0.0,0.0,0.1,71.0,-0.0297272727,129.612,129.17,129.15,129.888,129.888,129.89,129.75,129.6,129.58,0.0046935961297618345,33206
