query_index,col_item,col_timestamp,cf_index,factual_rating,cf_rating,factual_prediction,cf_prediction,desired_min,desired_max,validity,lift,l1_dist,l2_dist,mean_abs_delta,mean_rel_delta,n_changed,sparsity,max_abs_delta,max_rel_delta
7156,ES00000121G2,2020-03-02,0,119.825516,120.058655,-0.007647793718338863,-0.006864799066281233,-0.007646793718338863,-0.00553691190941526,1,0.00078299,1.91983,0.65256401,0.09142048,0.00076215,21,1.0,0.391212,0.00326655
15411,GR0124035693,2020-03-02,0,122.9652,121.04,0.0015909055030067332,0.0033242953883282156,0.001591905503006733,0.0073318888260177,1,0.00173339,50.2652,13.0387881,2.39358095,0.01919817,21,1.0,5.13,0.04100064
259,AU3CB0258465,2020-03-02,0,63.44137248,65.301468,0.024692803864606535,0.02788882110350379,0.024693803864606536,0.03140554058905933,1,0.00319602,12.35406408,3.65297227,0.58828877,0.00907249,21,1.0,1.86009552,0.02931991
14666,GR0114031561,2020-03-02,0,112.06000000000002,111.7,-0.01244086146201374,-0.01171851769869662,-0.012439861462013741,-0.010181407498137623,1,0.00072234,2.59,0.84964699,0.12333333,0.00109843,20,0.952381,0.56,0.00500357
2494,DE0001102457,2020-03-02,0,108.369837,108.235535,-0.0021980154636942178,-0.0016964361849662473,-0.0021970154636942177,0.004362014156055165,1,0.00050158,3.756944,1.03569351,0.1789021,0.00167084,21,1.0,0.562294,0.0051951
5602,DE000A0DEN75,2020-03-02,0,88.698774,92.117714,-0.027593018954503102,-0.024960409506223375,-0.0275920189545031,0.3599310044214068,1,0.00263261,49.678217,11.75943504,2.36562938,0.02530912,21,1.0,4.130318,0.043326
1554,CA580135CD12,2020-03-02,0,71.1793433484,71.848221,-0.004431029250629249,-0.0015505884582874127,-0.0044300292506292485,0.061247447496038276,1,0.00288044,14.13395027,4.16689328,0.67304525,0.00927033,21,1.0,1.97807615,0.02709653
9486,EU000A1U9985,2020-03-02,0,101.572219,101.497398,-0.004115908418555927,-0.004032158701635283,-0.0041149084185559265,-0.0019710440712698727,1,8.375e-05,0.44503,0.13055788,0.0211919,0.00020897,21,1.0,0.074821,0.00073663
7415,ES0000012A89,2020-03-02,0,110.386492,110.32885,-0.0059578518752439295,-0.0049494953777631774,-0.005956851875243929,0.03237742606876551,1,0.00100836,2.7172,0.85224749,0.12939048,0.00117158,21,1.0,0.62844,0.00570757
8709,ES0173516115,2020-03-02,0,10.215,10.13,-0.12716647057332098,-0.12288523001903426,-0.12716547057332098,-0.10838191512073263,1,0.00428124,6.44,1.61791533,0.30666667,0.02551951,21,1.0,0.635,0.05612019
