query_index,col_item,col_timestamp,cf_index,factual_rating,cf_rating,factual_prediction,cf_prediction,desired_min,desired_max,validity,lift,l1_dist,l2_dist,mean_abs_delta,mean_rel_delta,n_changed,sparsity,max_abs_delta,max_rel_delta
0,100974271034,2021-05-27,0,4.72,4.7,0.0625602912005742,0.0681462324286965,0.0625612912005742,0.581898195093973,1,0.00558594,1.56436,0.4199146,0.07449333,0.01532878,20,0.952381,0.24,0.05263158
1,100974271034,2021-05-28,0,4.62,4.7,0.0612807652441075,0.0633820090851852,0.0612817652441075,0.581898195093973,1,0.00210124,1.59436,0.42453301,0.0759219,0.01568188,20,0.952381,0.24,0.05263158
2,100974271034,2021-05-31,0,4.61,5.0,0.0586998083676718,0.158679789423855,0.0587008083676718,0.581898195093973,1,0.09997998,4.27964,1.09212466,0.20379238,0.04157505,20,0.952381,0.4712,0.09291686
3,100974271034,2021-06-01,0,4.655,4.6,0.0588641242835141,0.0620341468666349,0.0588651242835141,0.581898195093973,1,0.00317002,1.59656,0.42587303,0.07602667,0.01575778,20,0.952381,0.24,0.05263158
4,100974271034,2021-06-02,0,4.65,4.7,0.058872460002418,0.0730374881801018,0.058873460002418,0.581898195093973,1,0.01416503,4.66,1.24338248,0.22190476,0.04679202,20,0.952381,0.54,0.11842105
5,100974271034,2021-06-03,0,4.645,4.7,0.0581968708263979,0.0600468187839679,0.0581978708263979,0.581898195093973,1,0.00184995,1.615,0.42793107,0.07690476,0.01601848,20,0.952381,0.24,0.05263158
6,100974271034,2021-06-04,0,4.63,4.6,0.0534219408518431,0.0554174743570661,0.0534229408518431,0.581898195093973,1,0.00199553,2.375,0.67031709,0.11309524,0.0235792,20,0.952381,0.305,0.06496273
7,100974271034,2021-06-07,0,4.6,4.7,0.0497281624052175,0.0565051425958346,0.0497291624052175,0.581898195093973,1,0.00677698,2.455,0.67744003,0.11690476,0.02442729,20,0.952381,0.305,0.06496273
8,100974271034,2021-06-08,0,4.6,4.7,0.041266485847528,0.0546250728977464,0.041267485847528,0.581898195093973,1,0.01335859,2.415,0.67031709,0.115,0.02417796,20,0.952381,0.305,0.06496273
9,100974271034,2021-06-09,0,4.63,4.6,0.039348097747176,0.0538833880847001,0.039349097747176,0.581898195093973,1,0.01453529,2.445,0.67098808,0.11642857,0.02448651,21,1.0,0.305,0.06496273
10,100974271034,2021-06-10,0,4.775,4.6,0.0412653507596404,0.0505490528201228,0.0412663507596404,0.581898195093973,1,0.0092837,2.82,0.81905433,0.13428571,0.02844925,20,0.952381,0.405,0.08626198
11,100974271034,2021-06-11,0,4.8,4.6,0.037182383823379,0.0595921461988744,0.037183383823379,0.581898195093973,1,0.02240976,2.6,0.70459208,0.12380952,0.02613468,21,1.0,0.305,0.06496273
